Date,Close,Open,High,Low,Vol.,Change %
"Aug 07, 2020",190.65,191.45,192.1,189.55,44.82M,-0.16%
"Aug 06, 2020",190.95,192.3,194.5,190.25,59.74M,-0.26%
"Aug 05, 2020",191.45,192.75,196.85,191,68.89M,-0.08%
"Aug 04, 2020",191.6,193.35,193.8,190.5,43.87M,-0.34%
"Aug 03, 2020",192.25,192,194.6,190.05,72.46M,0.42%
"Jul 31, 2020",191.45,188,194.85,186.7,145.90M,2.63%
"Jul 30, 2020",186.55,192.5,193.5,186.05,48.48M,-2.43%
"Jul 29, 2020",191.2,187.6,195.25,187,73.77M,0.92%
"Jul 28, 2020",189.45,188,190.5,185.75,51.49M,1.23%
"Jul 27, 2020",187.15,193,193.2,186.5,50.71M,-2.50%
"Jul 24, 2020",191.95,195.7,196.3,190.65,65.27M,-3.18%
"Jul 23, 2020",198.25,192.4,199.1,191.15,70.80M,3.26%
"Jul 22, 2020",192,195.7,196.75,190.1,62.28M,-1.23%
"Jul 21, 2020",194.4,192.45,196.2,191.5,59.29M,1.91%
"Jul 20, 2020",190.75,190,193.25,188.75,45.68M,1.35%
"Jul 17, 2020",188.2,186.8,189.5,185,47.04M,1.05%
"Jul 16, 2020",186.25,185,186.95,181.65,46.55M,1.33%
"Jul 15, 2020",183.8,187.95,189.95,183,58.53M,-1.21%
"Jul 14, 2020",186.05,192.3,192.3,184.6,62.24M,-3.45%
"Jul 13, 2020",192.7,198.8,199.8,191.6,61.95M,-1.48%
"Jul 10, 2020",195.6,198,202.5,194.8,111.41M,-1.76%
"Jul 09, 2020",199.1,192.8,201,192.55,89.54M,3.75%
"Jul 08, 2020",191.9,188.9,197.45,188.4,143.08M,1.75%
"Jul 07, 2020",188.6,187,189.2,184.05,55.12M,0.29%
"Jul 06, 2020",188.05,186.6,189.85,186.15,43.79M,1.81%
"Jul 03, 2020",184.7,186.65,186.85,183.4,38.05M,-0.40%
"Jul 02, 2020",185.45,185.65,188,184,52.13M,0.35%
"Jul 01, 2020",184.8,179.45,185.4,178.6,54.02M,3.56%
"Jun 30, 2020",178.45,181.1,182.9,177.25,43.62M,-0.45%
"Jun 29, 2020",179.25,183,183.1,178.5,50.97M,-2.90%
"Jun 26, 2020",184.6,188,188.6,183.8,49.18M,-0.35%
"Jun 25, 2020",185.25,182.2,186.8,180.4,73.63M,0.35%
"Jun 24, 2020",184.6,194.8,194.9,183.9,74.67M,-4.08%
"Jun 23, 2020",192.45,189.6,193.1,187.85,65.49M,2.53%
"Jun 22, 2020",187.7,185,191.75,184.25,80.02M,1.73%
"Jun 19, 2020",184.5,180.3,184.95,179.5,76.90M,2.70%
"Jun 18, 2020",179.65,172.4,180.65,171.1,58.26M,3.87%
"Jun 17, 2020",172.95,171,176.2,169.25,73.87M,0.03%
"Jun 16, 2020",172.9,178,178.95,169.4,63.93M,-0.46%
"Jun 15, 2020",173.7,177.85,177.85,172,63.62M,-3.04%
"Jun 12, 2020",179.15,170,180,169.8,92.76M,1.13%
"Jun 11, 2020",177.15,188,190.4,176.35,91.73M,-5.62%
"Jun 10, 2020",187.7,184.55,189,183.8,67.34M,1.76%
"Jun 09, 2020",184.45,187.7,191,183.35,96.66M,-1.26%
"Jun 08, 2020",186.8,197,197.5,185.8,151.75M,-0.53%
"Jun 05, 2020",187.8,176.55,189.8,176,201.33M,7.90%
"Jun 04, 2020",174.05,174.9,177.65,171.5,83.50M,-0.49%
"Jun 03, 2020",174.9,172.5,179.9,172,113.17M,2.73%
"Jun 02, 2020",170.25,169.9,171.3,167.2,70.42M,0.12%
"Jun 01, 2020",170.05,164,171.4,163.35,92.74M,5.42%
"May 29, 2020",161.3,156.1,161.9,155.2,58.37M,1.96%
"May 28, 2020",158.2,159.45,162.4,156.7,76.97M,-0.25%
"May 27, 2020",158.6,151.95,160.8,150.8,88.21M,4.76%
"May 26, 2020",151.4,152.4,153.2,150.2,48.28M,0.36%
"May 22, 2020",150.85,152,155.6,149.45,87.07M,-0.72%
"May 21, 2020",151.95,153.65,156.15,151.5,61.15M,-0.95%
